"","solID","mape","decomp.rssd","nrmse","Influencer_S","Social_Media_S","Radio_S","cluster","top_sol"
"1","1_121_13",126.356000720067,0.0504554610069362,0.254940055321877,0.517153055691625,0.20991499977821,0.678755117417049,"2",TRUE
"2","1_14_1",126.847435110871,0.0327160220602061,0.255136768811775,0.819203774458078,0.525422861954929,0.391437919477233,"4",FALSE
"3","1_91_16",126.974456067661,0.0536945000089638,0.254905278421597,0.151828640681493,0.601366016761671,0.782667882883437,"1",FALSE
"4","1_93_14",126.285296207605,0.0487727690520212,0.254991911471979,0.20725269157742,0.591392079672382,0.655602748413851,"1",FALSE
"5","10_100_3",125.903890334242,0.0547033357199131,0.254902881534955,0.199315759260869,0.336042733376034,0.732211973016757,"1",TRUE
"6","10_104_9",126.656159309301,0.0419783063896063,0.254997328212688,0.624730385262553,0.393299289496038,0.557600760890933,"3",FALSE
"7","10_114_6",126.722169137397,0.0141597022789015,0.255383723174517,0.908570311833154,1,0.0866948506812985,"5",FALSE
"8","3_108_2",126.105980058095,0.0130034860592369,0.255538392778128,1,0.936094070362624,0,"5",TRUE
"9","3_113_5",126.509324686693,0.0320219005945892,0.255188396137612,0.453911378865183,0.90893877548724,0.370968154667663,"3",TRUE
"10","3_70_6",126.756072927957,0.0213585478575848,0.255304859003367,0.851082778237237,0.838322243541937,0.218795310608708,"5",FALSE
"11","3_89_14",126.618073219169,0.0293927246074171,0.255223775699488,0.930386050840113,0.547219157345733,0.303321641077594,"4",TRUE
"12","4_36_11",126.662288730136,0.0551746502998404,0.254837850474001,0.652996186340076,1.63932878034101e-06,0.743248530600403,"2",FALSE
"13","4_42_5",126.647008896246,0.0551330041934529,0.254838144511511,0.65300939023598,0,0.74100636055744,"2",FALSE
"14","5_97_7",126.422753994622,0.0530380554890567,0.254921368095918,0.0287598659429702,0.736238624162029,0.705504487461198,"1",FALSE
"15","6_42_7",126.036341538543,0.0697399346472261,0.254684607598326,0,0.106826422553118,1,"1",FALSE
"16","7_34_4",126.986932602448,0.0360226262534506,0.255082428605711,0.678813991024792,0.560348891729316,0.48933024742912,"3",FALSE
"17","8_73_9",126.842285150124,0.0255754984003534,0.255279955452335,0.829719132586292,0.732437035897527,0.291369659140238,"4",FALSE
"18","9_120_12",126.978696466377,0.0613080201811497,0.254730020472602,0.0866819775456649,0.405050488614466,0.91962137807888,"1",FALSE
