"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"1","(Intercept)",101759538.339418,8039003528.81404,0.732159266597378,101759538.339418,0.723915060540409,8039003528.81404,0.732159266597378,101759538.339418,0.723915060540409,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.0153261188080952,217031865.555062,0.0197663666825752,2747238.80449445,0.0195437948906671,217031865.555062,0.0197663666825752,2747238.80449445,0.0195437948906671,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.0133856983054219,-47948820.8211141,-0.00436698072849024,-606947.099001444,-0.00431780797248621,-47948820.8211141,-0.00436698072849024,-606947.099001444,-0.00431780797248621,FALSE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.0163014132136599,-179503.382780528,-1.6348427341433e-05,-11218.961423783,-7.98114385229317e-05,-179503.382780528,-1.6348427341433e-05,-11218.961423783,-7.98114385229317e-05,FALSE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","cag_V",-0.0705223595835299,-102238648.343997,-0.00931147417974715,0,0,-102238648.343997,-0.00931147417974715,0,0,FALSE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Influencer_S",10069306.2952824,78312569.5354223,0.00713238565835903,991298.34854965,0.00705207409265483,78312569.5354223,0.00713238565835903,991298.34854965,0.00705207409265483,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,380139708.92,4936879.33662338,0.690898160345059,0.666415212061518,0.059066281119628,0.206009968697859,4.85413403206053,291603.102750679,0.149270828580484
"7","Social_Media_S",362062.571270938,2796923.03433628,0.000254732207817685,35404.0890422314,0.000251863890900308,2796923.03433628,0.000254732207817685,35404.0890422314,0.000251863890900308,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,23689500,364453.846153846,0.0430553072605701,0.0238009309119128,0.038730603715952,0.118065937834749,8.46984336328784,14115.5174881392,0.0940486084364238
"8","Radio_S",4681734.46148464,36403685.5780913,0.003315497454226,758410.116210235,0.00539531246063168,36403685.5780913,0.003315497454226,758410.116210235,0.00539531246063168,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,146381706,13307427.8181818,0.26604653239437,0.309783857026569,0.257982805667929,0.248690130569262,4.02106829776863,3433087.56475799,0.108508203178644
"9","beef",37788112.4810192,1436461603.80123,0.130826994983239,18183058.2759649,0.129353866452792,1436461603.80123,0.130826994983239,18183058.2759649,0.129353866452792,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","chicken",33853643.6633525,1320213086.47971,0.120239559751984,16711558.0567052,0.118885647082953,1320213086.47971,0.120239559751984,16711558.0567052,0.118885647082953,TRUE,-0.0587922805042345,0.254905278421597,0.0536945000089638,126.974456067661,12776230384.3065,0.795707186745459,16056034913.1787,1e-04,16,91,1,1,1456,"1_91_16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
