"","ds","Influencer_S","Social_Media_S","Radio_S","beef","chicken","type","solID"
"75","2021-03-07",1110000.2,325000,0,3.987,3.239,"rawMedia","1_91_16"
"76","2021-03-14",45000,325000,0,4.042,3.239,"rawMedia","1_91_16"
"77","2021-03-21",20000,325000,0,4.042,3.239,"rawMedia","1_91_16"
"78","2021-03-28",20000,305000,0,4.042,3.239,"rawMedia","1_91_16"
"79","2021-04-04",0,160000,0,4.096,3.291,"rawMedia","1_91_16"
"80","2021-04-11",0,135000,0,4.096,3.291,"rawMedia","1_91_16"
"81","2021-04-18",47000,135000,0,4.096,3.291,"rawMedia","1_91_16"
"82","2021-04-25",47000,135000,0,4.096,3.291,"rawMedia","1_91_16"
"83","2021-05-02",47000,135000,0,4.101,3.406,"rawMedia","1_91_16"
"84","2021-05-09",47000,0,0,4.101,3.406,"rawMedia","1_91_16"
"85","2021-05-16",97000,0,0,4.101,3.406,"rawMedia","1_91_16"
"86","2019-10-06",90003.23,30000,0,NA,NA,"rawSpend","1_91_16"
"87","2019-10-13",90003.23,30000,0,NA,NA,"rawSpend","1_91_16"
"88","2019-10-20",339515.58,30000,0,NA,NA,"rawSpend","1_91_16"
"89","2019-10-27",370265.58,35000,0,NA,NA,"rawSpend","1_91_16"
"90","2019-11-03",3872465.58,35000,0,NA,NA,"rawSpend","1_91_16"
"91","2019-11-10",4517212.35,35000,0,NA,NA,"rawSpend","1_91_16"
"92","2019-11-17",4572212.35,5000,0,NA,NA,"rawSpend","1_91_16"
"93","2019-11-24",4622212.35,0,0,NA,NA,"rawSpend","1_91_16"
"94","2019-12-01",4622212.35,0,0,NA,NA,"rawSpend","1_91_16"
"95","2019-12-08",4655412.35,0,0,NA,NA,"rawSpend","1_91_16"
"96","2019-12-15",4655412.35,15000,0,NA,NA,"rawSpend","1_91_16"
"97","2019-12-22",4645412.35,15000,0,NA,NA,"rawSpend","1_91_16"
"98","2019-12-29",4571012.35,0,0,NA,NA,"rawSpend","1_91_16"
"99","2020-01-05",5040559.92,0,0,NA,NA,"rawSpend","1_91_16"
"100","2020-01-12",1031847.57,12500,0,NA,NA,"rawSpend","1_91_16"
"101","2020-01-19",1216447.57,12500,0,NA,NA,"rawSpend","1_91_16"
"102","2020-01-26",1238447.57,12500,0,NA,NA,"rawSpend","1_91_16"
"103","2020-02-02",1238447.57,12500,0,NA,NA,"rawSpend","1_91_16"
"104","2020-02-09",1235977.57,15000,0,NA,NA,"rawSpend","1_91_16"
"105","2020-02-16",381000,15000,0,NA,NA,"rawSpend","1_91_16"
"106","2020-02-23",341000,15000,0,NA,NA,"rawSpend","1_91_16"
"107","2020-03-01",275638.66,40000,0,NA,NA,"rawSpend","1_91_16"
"108","2020-03-08",375735.12,25000,0,NA,NA,"rawSpend","1_91_16"
"109","2020-03-15",315735.12,25000,0,NA,NA,"rawSpend","1_91_16"
"110","2020-03-22",246335.12,25000,0,NA,NA,"rawSpend","1_91_16"
"111","2020-03-29",206000,25000,0,NA,NA,"rawSpend","1_91_16"
"112","2020-04-05",206000,15000,0,NA,NA,"rawSpend","1_91_16"
"113","2020-04-12",35000,0,0,NA,NA,"rawSpend","1_91_16"
"114","2020-04-19",35000,0,0,NA,NA,"rawSpend","1_91_16"
"115","2020-04-26",35000,0,0,NA,NA,"rawSpend","1_91_16"
"116","2020-05-03",472500,0,0,NA,NA,"rawSpend","1_91_16"
"117","2020-05-10",472500,0,0,NA,NA,"rawSpend","1_91_16"
"118","2020-05-17",472500,0,0,NA,NA,"rawSpend","1_91_16"
"119","2020-05-24",472500,0,14593572,NA,NA,"rawSpend","1_91_16"
"120","2020-05-31",2992500,0,14593572,NA,NA,"rawSpend","1_91_16"
"121","2020-06-07",2992500,5000,14593572,NA,NA,"rawSpend","1_91_16"
"122","2020-06-14",2992500,25000,14593572,NA,NA,"rawSpend","1_91_16"
"123","2020-06-21",3045294.65,25000,14638572,NA,NA,"rawSpend","1_91_16"
"124","2020-06-28",2607794.65,25000,14638572,NA,NA,"rawSpend","1_91_16"
"125","2020-07-05",10339724.99,97500,14638572,NA,NA,"rawSpend","1_91_16"
"126","2020-07-12",13694724.99,102500,14638572,NA,NA,"rawSpend","1_91_16"
"127","2020-07-19",13697724.99,117500,14697234,NA,NA,"rawSpend","1_91_16"
"128","2020-07-26",18195430.34,432500,14697234,NA,NA,"rawSpend","1_91_16"
"129","2020-08-02",18875430.34,795000,58662,NA,NA,"rawSpend","1_91_16"
"130","2020-08-09",18863500,805000,0,NA,NA,"rawSpend","1_91_16"
"131","2020-08-16",18868500,817500,0,NA,NA,"rawSpend","1_91_16"
"132","2020-08-23",18865500,802500,0,NA,NA,"rawSpend","1_91_16"
"133","2020-08-30",18865500,427500,0,NA,NA,"rawSpend","1_91_16"
"134","2020-09-06",20386569.66,427500,0,NA,NA,"rawSpend","1_91_16"
"135","2020-09-13",20344069.66,102500,0,NA,NA,"rawSpend","1_91_16"
"136","2020-09-20",20349069.66,157000,0,NA,NA,"rawSpend","1_91_16"
"137","2020-09-27",20349069.66,157000,0,NA,NA,"rawSpend","1_91_16"
"138","2020-10-04",21049399.2,204000,0,NA,NA,"rawSpend","1_91_16"
"139","2020-10-11",13176399.2,114000,0,NA,NA,"rawSpend","1_91_16"
"140","2020-10-18",2936399.2,99000,0,NA,NA,"rawSpend","1_91_16"
"141","2020-10-25",773399.2,99000,0,NA,NA,"rawSpend","1_91_16"
"142","2020-11-01",773399.2,99000,0,NA,NA,"rawSpend","1_91_16"
"143","2020-11-08",70000,35000,0,NA,NA,"rawSpend","1_91_16"
"144","2020-11-15",160000,35000,0,NA,NA,"rawSpend","1_91_16"
"145","2020-11-22",160000,0,0,NA,NA,"rawSpend","1_91_16"
"146","2020-11-29",160000,1053000,0,NA,NA,"rawSpend","1_91_16"
"147","2020-12-06",194000,1053000,0,NA,NA,"rawSpend","1_91_16"
"148","2020-12-13",159000,1053000,0,NA,NA,"rawSpend","1_91_16"
"149","2020-12-20",159000,1053000,0,NA,NA,"rawSpend","1_91_16"
"150","2020-12-27",159000,1053000,0,NA,NA,"rawSpend","1_91_16"
"151","2021-01-03",4382765.2,1413000,0,NA,NA,"rawSpend","1_91_16"
"152","2021-01-10",4347765.2,1360000,0,NA,NA,"rawSpend","1_91_16"
"153","2021-01-17",4484565.2,1495000,0,NA,NA,"rawSpend","1_91_16"
"154","2021-01-24",4450565.2,1045000,0,NA,NA,"rawSpend","1_91_16"
"155","2021-01-31",4485565.2,1045000,0,NA,NA,"rawSpend","1_91_16"
