DATE,banner_I,blog_I,coupon_I,email_I,social_I,text_I,website_I,ecom_I,display_I,event_I,other_I,post_I,sweepstakes_I,mail_I,radio_I,circular_I,retailer_I,banner_S,blog_S,coupon_S,email_S,social_S,text_S,website_S,ecom_S,display_S,event_S,other_S,post_S,sweepstakes_S,mail_S,radio_S,circular_S,retailer_S,revenue
2/8/2020,603950722,366640989,47179643,8067960,1504626,0,0,0,265000000,21122959,252116284,1.23E+12,0,67500000,9706666496,266000000,38039655486,2471953.69,1235977.57,292984.39,439999.93,15000,0,0,0,0,1976744.88,340000,872946.97,0,765000,0,15000,3930496.61,1559306280
2/15/2020,194548843,60376324,87179643,8376776,1504626,0,0,0,265000000,6722959,1300000,1.22E+12,0,0,9706666496,257000000,37733530026,790771.45,381000,604152.55,194999.93,15000,0,0,0,0,348546.69,25000,670705.48,0,0,0,15000,2554067.82,1270023037
2/22/2020,169775380,56464034,87530462,8376776,1504626,0,0,0,256000000,6722959,1300000,1.22E+12,0,0,9706666496,257000000,37558255026,615771.45,341000,619152.55,194999.93,15000,0,0,0,0,348546.69,25000,666807.02,0,0,0,15000,2157572.82,1212545371
2/29/2020,170194391,51492975,86279291,8376776,5432354,0,0,0,256000000,6639049,1300000,1.22E+12,0,0,9706666496,257000000,37417214738,606832.11,275638.66,609753.34,194999.93,40000,0,0,0,0,247914.86,25000,686166.68,0,0,0,15000,652799.11,1285519742
3/7/2020,261701025,37834990,74158501,7058816,3927728,120036,0,0,256000000,5400000,1300000,1.22E+12,0,0,9706666496,257000000,37393729979,985640.05,375735.12,517646.68,160000,25000,100000,0,0,0,152952.97,25000,718115.58,0,0,0,0,560486.5,1509523237
3/14/2020,171902250,21294848,21941516,0,3927728,120036,0,0,256000000,3400000,0,1.22E+12,0,0,9706666496,257000000,37233529958,686421.01,315735.12,130779.82,0,25000,100000,0,0,0,85978.59,0,215088.91,0,0,0,0,136611.87,1590402671
3/21/2020,152516138,10595182,5567532,0,3927728,120036,0,0,256000000,19060000,0,1.22E+12,0,0,9706666496,257000000,37233648668,630321.01,246335.12,53779.82,0,25000,100000,0,0,0,105978.59,0,210088.91,0,0,0,0,146842.42,3203060583
3/28/2020,121481346,5860503,5100714,0,3927728,120036,0,0,256000000,19060000,0,1.22E+12,0,0,9706666496,257000000,37231404702,511705.5,206000,22565.75,0,25000,100000,0,0,0,105978.59,0,162924.82,0,0,0,0,125399.96,2098484692
4/4/2020,111956340,5860503,0,0,1727728,120036,0,0,256000000,15660000,0,1.22E+12,0,0,9706666496,257000000,37231138928,468667.94,206000,0,0,15000,100000,0,0,0,20000,0,127958.7,0,0,0,0,105981.1,1661971779
4/11/2020,11423224,3848503,0,0,0,0,0,0,256000000,15660000,0,1.22E+12,0,0,9706666496,257000000,37224718713,85660.06,35000,0,0,0,0,0,0,0,20000,0,127958.7,0,0,0,0,30194.6,1727257487
4/18/2020,11423224,3848503,0,0,0,0,0,0,256000000,0,0,1.22E+12,0,0,9706666496,257000000,37224718713,85660.06,35000,0,0,0,0,0,0,0,0,0,127958.7,0,0,0,0,30194.6,1556590438
4/25/2020,11423224,3848503,0,0,0,0,0,0,256000000,0,0,1.22E+12,0,0,9706666496,257000000,37224718713,85660.06,35000,0,0,0,0,0,0,0,0,0,127958.7,0,0,0,0,30194.6,1515912793
5/2/2020,1138523324,57773903,0,31356850,0,0,0,0,281000000,0,0,1.22E+12,0,0,9706666496,663875000,37254859863,6535660.06,472500,0,375000,0,0,0,0,0,0,0,893342.2,0,0,0,625000,755194.6,1573277381
5/9/2020,1138523324,57773903,0,31356850,0,0,0,0,281000000,0,0,1.22E+12,0,0,9706666496,663875000,37254859863,6535660.06,472500,0,375000,0,0,0,0,0,0,0,893342.2,0,0,0,625000,755194.6,1675247329
5/16/2020,1138523324,57773903,0,31356850,0,0,0,0,25000000,0,0,209434378,0,0,0,407875000,32459863,6535660.06,472500,0,375000,0,0,0,0,0,0,0,893342.2,0,0,0,625000,755194.6,147657207.4
5/23/2020,2448133045,57773903,848573033,31356850,0,0,0,0,12030000000,0,0,209434378,0,102600000,625743622,407875000,50216371,14620660.06,472500,12314557.5,375000,0,0,0,0,21070000,0,0,893342.2,0,3519700,14593572,625000,935494.6,1290124935
