Influencer_I,Social_Media_I,Radio_I,Influencer_S,Social_Media_S,Radio_S,revenue,beef,chicken,cag_V,DATE
794724907,149457801,0,4485565.2,1045000,0,129906901.8,3.965,3.293,18244800,2021-01-31
794724907,149457801,0,4485565.2,1045000,0,142642873.6,3.987,3.26,14253000,2021-02-07
614409226,149457801,0,3608000.2,1045000,0,140125960.3,3.987,3.26,15501600,2021-02-14
525830070,123960000,0,2805000.2,910000,0,97489595.67,3.987,3.26,20558400,2021-02-21
525830070,126211848,0,2805000.2,930000,0,86607398.28,3.987,3.26,20015000,2021-02-28
122235013,54359689,0,1110000.2,325000,0,37962702.24,3.987,3.239,18662100,2021-03-07
5916615,54359689,0,45000,325000,0,3438460.58,4.042,3.239,18075700,2021-03-14
2421731,54359689,0,20000,325000,0,2895546.44,4.042,3.239,17208500,2021-03-21
2421731,52107841,0,20000,305000,0,2545133.94,4.042,3.239,13785300,2021-03-28
0,18027841,0,0,160000,0,3319059.77,4.096,3.291,20637900,2021-04-04
0,15120000,0,0,135000,0,2381882.16,4.096,3.291,16527800,2021-04-11
3714622,15120000,0,47000,135000,0,2634096.81,4.096,3.291,14584400,2021-04-18
3714622,15120000,0,47000,135000,0,2775396.17,4.096,3.291,14328900,2021-04-25
3714622,15120000,0,47000,135000,0,2606033,4.101,3.406,17047500,2021-05-02
3714622,0,0,47000,0,0,44078.7,4.101,3.406,15259500,2021-05-09
9617223,0,0,97000,0,0,80169.14,4.101,3.406,13486300,2021-05-16
