"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","chicken","intercept","depVarHat","solID"
"1","2019-10-13",15703190.71,1384250.8625543,-487261.050758123,-380419.442204868,7526853.78446975,10.7320695569335,17.6953301968472,1338.0267592807,157260.148039925,117631613.065942,8202050.75626002,"1_24_4"
"2","2019-10-20",16903252.55,1391189.92034178,-1560480.4709566,0,7310291.67558325,221.911702984561,44.355013146611,3461.97358176342,435941.733732101,117631613.065942,7580671.09899843,"1_24_4"
"3","2019-10-27",17041206.68,1398128.97812926,-1763548.36503954,0,7384239.44866388,482.940647174617,93.3019946178553,6039.15491979548,860780.437349563,117631613.065942,7886215.89666475,"1_24_4"
"4","2019-11-03",44838814.19,1405068.03756705,-1619819.20369344,0,7455546.74861688,144362.067570657,161.591693484977,7201.49867994715,1393788.79663193,117631613.065942,8786309.53706651,"1_24_4"
"5","2019-11-10",34654156.8,1412007.09700483,-1653779.67402206,-588473.058117249,7614006.82828993,408010.107044939,237.116008969526,7252.69525404071,1957843.57132029,117631613.065942,9157104.68278369,"1_24_4"
"6","2019-11-17",36825456.94,1418946.15305325,-1924942.13012725,0,7827927.67174841,461645.015382103,193.841578806487,7252.70993372795,2453072.31277724,117631613.065942,10244095.5743463,"1_24_4"
"7","2019-11-24",39523546.72,1425885.20910166,-2155531.17751566,44579.4039738376,7740774.62792823,475077.092193655,916.467287715288,7252.70993372815,2775363.87026862,117631613.065942,10314318.2031718,"1_24_4"
"8","2019-12-01",58638124.42,1432824.26515008,-2163480.66625573,0,7820005.19596502,478629.337724718,2271.03614140368,7252.70993372815,2890536.3116612,117631613.065942,10468038.1903204,"1_24_4"
"9","2019-12-08",34595451,1439763.32071912,-2040009.78212094,0,7783030.64917438,485077.018701772,4290.18817274772,7252.70993372815,2903747.7435823,117631613.065942,10583151.8481631,"1_24_4"
"10","2019-12-15",38934322.21,1446702.37628815,-1938059.9013819,0,9288401.1419682,487460.664114646,4016.2141648051,7252.70993372815,2905141.96493949,117631613.065942,12200915.1700271,"1_24_4"
"11","2019-12-22",45290872.74,1453641.43185719,-1842948.1664251,-245654.953704934,9399323.7259396,485508.565859878,3758.12048272378,7252.70993372815,2905536.11765567,117631613.065942,12166417.5515988,"1_24_4"
"12","2019-12-29",64776493.72,1460580.48292154,-1644598.83781633,-329492.436489285,9087685.56924927,470411.676297664,6030.44705833939,7252.70993372815,2904761.57699242,117631613.065942,11962631.1881473,"1_24_4"
"13","2020-01-05",64894467.84,1467519.53398589,-1366326.60417265,0,8931866.49090411,559278.918926235,7080.70354850688,7252.70993372815,2935227.49363398,117631613.065942,12541899.2467598,"1_24_4"
"14","2020-01-12",24732351.93,1474458.58678785,-1190508.05870471,0,8813021.16704919,59472.2516662966,4107.12683241791,7252.70993372815,2965613.38186326,117631613.065942,12133417.165428,"1_24_4"
"15","2020-01-19",26557621.63,1481397.63958981,-1229357.95116295,64652.7201806206,8781329.41521471,11843.2056260599,2276.27665313884,7252.70993372815,2996199.85765137,117631613.065942,12115593.8736865,"1_24_4"
"16","2020-01-26",26292907.18,1488336.69239177,-1366510.58283757,0,8839431.7085283,13754.8087031113,1698.0328176028,7252.70993372815,3027066.57721668,117631613.065942,12011029.9467536,"1_24_4"
"17","2020-02-02",28287255.18,1495275.74163882,-1408711.09187347,0,8786611.41787048,13935.8154415304,1392.20069050907,7252.70993372815,3048096.35802539,117631613.065942,11943853.151727,"1_24_4"
"18","2020-02-09",32890363.52,1502214.79088587,-1353621.0820168,0,8720586.38467338,13880.4156397961,613.405291387726,7252.70993372815,3067929.64593621,117631613.065942,11958856.2703436,"1_24_4"
"19","2020-02-16",5841619.91,1509153.84013292,-1401737.39272496,-143191.317846423,8300667.1735398,2020.6126452466,116.80322927557,7252.70993372815,3083992.74477362,117631613.065942,11358275.1736832,"1_24_4"
"20","2020-02-23",5115095.26,1516092.88526239,-1677970.14919637,0,7751338.8973399,446.4951973177,38.4093849061187,7252.70993372815,3091689.92762709,117631613.065942,10688889.175549,"1_24_4"
"21","2020-03-01",3178917.26,1523031.93039186,-2033161.90159593,0,7650980.58278017,271.395693213897,71.5081792047392,7252.70993372815,3080391.25846924,117631613.065942,10228837.4838515,"1_24_4"
"22","2020-03-08",36760762.07,1529970.97245383,-2208287.54526844,0,7455546.74861688,436.353672570642,90.9491610665291,7252.70993372815,3063690.53109235,117631613.065942,9848700.719662,"1_24_4"
"23","2020-03-15",44275947.01,1536910.0145158,-2160167.48566955,0,8435358.50536202,380.797771905052,112.26390148671,7252.70993372815,3047433.00037389,117631613.065942,10867279.8061893,"1_24_4"
"24","2020-03-22",52300359.72,1543849.05657777,-2113984.98786324,0,7426495.99811029,205.785353483235,133.365829227753,7252.70993372815,3033752.85882645,117631613.065942,9897704.78676771,"1_24_4"
"25","2020-03-29",31399641.03,1550787.31300117,-2259876.42454484,0,8437999.50668991,118.9093442598,153.638650019069,7252.70993372815,3023553.30957153,117631613.065942,10759988.9626458,"1_24_4"
"26","2020-04-05",32570266.98,1557725.56942457,-2496371.68801198,0,8680971.10065498,103.337247236599,144.118088372508,7252.70993372815,3005159.27623601,117631613.065942,10754984.4235729,"1_24_4"
"27","2020-04-12",928.58,1564663.82584796,-2579472.39767269,0,8908097.47895315,8.04130616313554,794.836566895953,7252.70993372815,2987899.43440541,117631613.065942,10889243.9293406,"1_24_4"
"28","2020-04-19",1324.52,1571595.96887323,-2485870.12841271,0,9153710.60244637,0.810512250812099,2081.90371593945,7252.70993372815,2972851.6218672,117631613.065942,11221623.488936,"1_24_4"
"29","2020-04-26",1688.79,1578528.11189849,-2468379.94863995,0,9362349.97144935,0.810512250812099,4136.27517328055,7252.70993372815,2960751.36336315,117631613.065942,11444639.2936903,"1_24_4"
"30","2020-05-03",14732596.16,1585453.30507059,-2658481.34445546,0,8963558.24273858,457.270659496219,6985.643399841,7252.70993372815,2987028.3437861,117631613.065942,10892254.1711329,"1_24_4"
"31","2020-05-10",15541169.5,1592378.49824268,-2713340.25327042,0,9129941.59049542,1000.72281823294,10603.5609471208,7252.70993372815,3013711.46012485,117631613.065942,11041548.2892916,"1_24_4"
"32","2020-05-17",16024383.67,1599303.69141477,-2053707.80734811,0,9100890.31178856,1000.72281823294,14345.5139005798,7252.70993372815,3041466.03583781,117631613.065942,11710551.1783456,"1_24_4"
"33","2020-05-24",298070926.3,1606211.11314889,-538042.184047817,2909943.64735879,9206530.89310419,1000.72281823294,15905.0209762341,495456.25135981,3071768.56273694,117631613.065942,16768774.0274553,"1_24_4"
"34","2020-05-31",308051668.1,1613118.53488301,1202235.0245236,0,9291042.67149635,76443.8782448793,15929.2629650362,1774787.93260459,3105163.0672354,117631613.065942,17078720.3719529,"1_24_4"
"35","2020-06-07",314923043.7,1620025.95661713,2256256.47119928,0,9000533.05362936,152681.381874111,10798.1315292396,3292374.57411384,3172005.58259915,117631613.065942,19504675.1515621,"1_24_4"
"36","2020-06-14",327659351.5,1626916.3653594,2306826.6257616,0,9209171.36623181,152681.381874111,7091.46272433051,4380626.11720525,3233818.7538833,117631613.065942,20917132.0730398,"1_24_4"
"37","2020-06-21",323526762.1,1633806.77410168,1940663.08962136,0,9166915.34498566,158010.294532004,4215.04305989793,4733617.90265847,3285404.07882149,117631613.065942,20922632.5277806,"1_24_4"
"38","2020-06-28",276481175.9,1640697.18284395,2035656.49867219,-867529.959238907,9520809.52292213,118796.303464303,2138.38435446691,4751335.75329909,3324269.33208374,117631613.065942,20526173.018401,"1_24_4"
"39","2020-07-05",430608370.9,1647570.81742186,2881841.9539731,0,9637014.37364943,1866826.8309957,1304.58961542237,4755005.66480049,3356433.86527426,117631613.065942,24145998.0957303,"1_24_4"
