"","chicken_alphas","chicken_gammas","chicken_scales","chicken_shapes","Influencer_S_alphas","Influencer_S_gammas","Influencer_S_scales","Influencer_S_shapes","Radio_S_alphas","Radio_S_gammas","Radio_S_scales","Radio_S_shapes","Social_Media_S_alphas","Social_Media_S_gammas","Social_Media_S_scales","Social_Media_S_shapes","penalty_trend","penalty_season","penalty_holiday","penalty_cag_V","penalty_Influencer_S","penalty_Social_Media_S","penalty_Radio_S","penalty_chicken","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","iterPar","iterNG","df.int","trial","iterations","solID","coef0","mape.qt10","robynPareto","error_score"
"1",1.04083774114483,0.310428772639249,0.0324485606795613,2.00234786487435,2.83838692307326,0.757387718641956,0.0122501999454134,3.06701666611279,2.80592542561341,0.958899397611797,0.0304679855204169,2.51273577971893,2.61469825892384,0.64442972613216,0.00458876558368382,2.87800608308696,0.196411602281411,0.275774980244232,0.331084401076766,0.376227216084873,0.336752765756568,0.162443991708818,0.0082021218303631,0.0588583452469256,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,0,0.14765191078186,188.101231336594,13,66,1,1,1053,"1_66_13",FALSE,TRUE,2,3.03718085403432
"2",2.62964252790165,0.907649179974384,0.0844879597180558,6.97733853434541,2.73513333870838,0.585435384322944,0.000404999733216534,5.4841972297371,2.39997125999619,0.890559457040291,0.0367283628361947,5.17707811583866,2.26650064748175,0.891358467139356,0.0626715104483601,9.29763583221056,0.255793553044435,0.403699208709161,0.802278677549707,0.458668395544088,0.791993235537321,0.810607841270144,0.458487817682165,0.0949198880357473,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,0,0.142308950424194,64.2587962150574,4,24,1,1,372,"1_24_4",FALSE,TRUE,1,3.03752557299823
"3",0.701323707330518,0.641799845356736,0.0605144892873139,0.93376170621165,2.62035882419742,0.689752942965896,0.082153889796273,0.658821857827837,2.5292311880294,0.943776593809099,0.0365533688726293,2.16762638994516,2.86186395741091,0.719900293447129,0.0176630967718067,9.54240047666818,0.986890078062796,0.17122266021858,0.55451224805103,0.20616498842003,0.927399948003805,0.532346157674102,0.739390447038982,0.261043090135334,-0.0403878650412968,0.252535197811223,0.0189291240824084,150.510832730693,11438240232.0809,0.712366313867574,16056034913.1787,1e-04,0,0.152462005615234,291.746388912201,3,103,1,2,1635,"2_103_3",FALSE,TRUE,3,3.03915762319192
"4",2.00018080304653,0.936881053091267,0.0999469379383589,4.51797921468459,2.32061962650413,0.760484685479902,0.0668411911499312,0.33691011429208,2.97935316348969,0.87415044491335,0.0858799243575799,1.8455202996179,2.61633616360162,0.742248130275005,0.0343141919571984,8.89996833920881,0.608039749654985,0.00458659394424354,0.0811235472016545,0.498566282253853,0.380353864447828,0.110322544151325,0.0859111429765991,0.403247607499712,-0.0438351355229116,0.252953232862451,0.011365127882792,147.65207979708,12426481950.3085,0.773922019097863,16056034913.1787,1e-04,0,0.157899141311646,108.878252983093,11,39,1,2,619,"2_39_11",FALSE,TRUE,3,3.03398570019476
"5",1.24609804406015,0.423315245500814,0.0833208029219441,5.48629577605151,2.40863368565765,0.83607406686202,0.0281084564642645,6.8711970000869,2.57656048303899,0.66631404450355,0.0027643604239832,5.09408643900153,2.73722177914247,0.690038036633047,0.0468394990698738,9.86029310512188,0.0100199046317823,0.993255537179782,0.708065595522559,0.80885598595254,0.779417018113268,0.978541981213572,0.296677884329022,0.210357686611693,-0.0460614474135213,0.25322284097149,0.00871844271846746,139.458834435475,12059956260.5562,0.75109182795982,16056034913.1787,1e-04,0,0.155017137527466,125.351417064667,9,45,1,2,713,"2_45_9",FALSE,TRUE,3,3.03024840163171
"6",1.24609804406015,0.423315245500814,0.0833208029219441,5.48629577605151,2.40863368565765,0.83607406686202,0.0281084564642645,6.8711970000869,2.57656048303899,0.66631404450355,0.0027643604239832,5.09408643900153,2.73722177914247,0.690038036633047,0.0468394990698738,9.86029310512188,0.548181689530339,0.947749729449991,0.315771062689032,0.454203723722892,0.585988425827572,0.653542581989314,0.331226924219944,0.12029896091666,-0.0460614474135213,0.25322284097149,0.00871844271846746,139.458834435475,12059956260.5562,0.75109182795982,16056034913.1787,1e-04,0,0.146987915039062,130.751384019852,7,47,1,2,743,"2_47_7",FALSE,TRUE,3,3.03024840163171
"7",1.92518704425366,0.944099255819158,0.0154198210582223,9.13668132178772,2.93828578842676,0.551669467854693,0.0352868708114021,0.272649188275222,2.6505388815443,0.895336907697417,0.0303659909110651,6.17087321590102,2.56626138644426,0.981889306277007,0.0671751102813821,0.815682312165651,0.60013961817627,0.284654285416406,0.528993389147024,0.220287804784501,0.0735458958666178,0.549828963635089,0.756934452033387,0.82019144294372,-0.0381707306055725,0.252265969805668,0.024581582666823,150.598464700822,11699477409.7492,0.728638282969005,16056034913.1787,1e-04,0,0.163110017776489,340.586048126221,7,120,1,3,1911,"3_120_7",FALSE,TRUE,1,3.04205589503559
"8",2.28118070400058,0.648114467336514,0.073028748848459,4.29852150427347,2.87639364035065,0.72072158071546,0.0289528650913519,2.43253298648677,2.26715014964584,0.963533569091929,0.00161300257173849,7.72324106545819,2.99476143447287,0.639753732485781,0.0979294898133442,1.76088753468342,0.483700315826545,0.0925352154781811,0.674901994343736,0.131249771798321,0.407899949754086,0.471015087029761,0.931882997869806,0.0508013281845529,-0.0385632083190224,0.252313649542901,0.00920757337064723,150.985882976592,10781381127.6277,0.671451804121855,16056034913.1787,1e-04,0,0.142508983612061,222.021131038666,13,80,1,3,1277,"3_80_13",FALSE,TRUE,1,3.04364179411631
"9",2.89736953425249,0.736796770119178,0.0832223732026151,3.01310978169429,2.9732021770465,0.63965295747445,0.0071154498404056,3.71941979965767,2.65803738885001,0.791316501280539,0.0263325211051724,3.90741768976182,2.69396928101461,0.969497389983597,0.0438719035336273,4.91115575171942,0.471054655195815,0.973374971892529,0.0471259399164435,0.212091637706926,0.31050024283357,0.914821769475051,0.891782960554078,0.9891794929991,-0.0389990207951405,0.252366583202654,0.0232922265511111,150.562958882573,11294933564.1293,0.703440012895599,16056034913.1787,1e-04,0,0.143617868423462,140.77064704895,7,52,1,3,823,"3_52_7",FALSE,TRUE,2,3.04083914317379
"10",2.97956955948646,0.847010816143902,0.00919445329512756,9.61830012245509,2.50539565527691,0.66730465474082,0.0120264721928934,1.95243512140983,2.66024069252274,0.862846480542958,0.00319781606760508,5.75894708252928,2.57785394685714,0.954672404747189,0.087505978936859,1.00002353426344,0.719833629862001,0.631828964542242,0.723428541609677,0.0285256677081316,0.320965837288816,0.345780197084797,0.284069094470108,0.0713515531845348,-0.0390874886166954,0.252377327123565,0.0450083939184981,145.310740971136,11541672903.6197,0.718808939110965,16056034913.1787,1e-04,0,0.148875951766968,286.220187187195,3,102,1,3,1619,"3_102_3",FALSE,TRUE,3,3.03409117961629
"11",1.62383578907595,0.854805401444276,0.0741467068814329,6.87576728092711,2.63385449416139,0.818826476218865,0.00832690289137905,1.43302107593383,2.78778103499589,0.772582792153617,0.0384151702561367,1.9665400931862,2.33485879286365,0.915605430334826,0.0165639577336257,3.45017365310773,0.711748454339716,0.942713670329157,0.662418110932686,0.112136487970055,0.250331133987822,0.681855030351205,0.836297279814972,0.281070032449641,-0.0396268262834296,0.252442816768092,0.0188923113659676,151.508840171018,11407074480.9059,0.710425058244357,16056034913.1787,1e-04,0,0.142611980438232,163.793146133423,12,60,1,3,956,"3_60_12",FALSE,TRUE,2,3.04053057225522
"12",2.41957892338238,0.353306332084807,0.0707740599594691,2.88648049701829,2.95895238522539,0.862990039082525,0.0168815297548036,2.93540635797494,2.54796060746683,0.986687704507624,0.0553833550062955,0.369486722891189,2.92739539117666,0.946028601270003,0.00504470123294907,5.27020238222657,0.742127874067531,0.496268332007378,0.0403876582033159,0.433283430004485,0.118936856889555,0.375070566234826,0.77764692328384,0.119854327264134,-0.0398324110892769,0.252467775647905,0.0416623026792734,143.585360703115,11153895105.8817,0.694654994410857,16056034913.1787,1e-04,0,0.148952960968018,277.865730047226,6,99,1,3,1574,"3_99_6",FALSE,TRUE,3,3.03404997781774
"13",2.93878634313679,0.794643733954927,0.0688470760639013,6.52289874969233,2.89888059145924,0.627628040475397,0.0238283514985679,0.244925788840135,2.91465618845993,0.798560764237921,0.030647271017688,0.302078012620785,2.57793172578868,0.734873155002437,0.0661576286174366,7.20965399440835,0.897626668483397,0.717941371095156,0.218348478314222,0.461817533528155,0.243647936420934,0.670274231656064,0.290792918720623,0.292729619731583,-0.0428946714938903,0.252839255560726,0.0106035052233063,142.637379131114,12002960422.518,0.747541665139409,16056034913.1787,1e-04,0,0.15921688079834,282.388833999634,16,100,1,3,1600,"3_100_16",FALSE,TRUE,2,3.03574572594604
"14",2.80631596938035,0.752495587969351,0.0389435718786395,5.84736717232632,2.54928769010475,0.567820995561661,0.0271671904798618,4.45795151453884,2.69448576423921,0.491771278642387,0.0161662511630654,7.78944262268507,2.39567865902945,0.773823912418908,0.00501676814417548,4.50182785873937,0.939181315183545,0.162001483495481,0.594358870956811,0.929032373563407,0.00662375892893589,0.544205665577465,0.941313052761984,0.799704957218161,-0.0430184398836337,0.25285425831219,0.00760290882849955,151.445564370866,11958810532.651,0.744791652104667,16056034913.1787,1e-04,0,0.142786026000977,290.60830616951,12,103,1,3,1644,"3_103_12",FALSE,TRUE,2,3.03574957885565
"15",2.80631596938035,0.752495587969351,0.0389435718786395,5.84736717232632,2.54928769010475,0.567820995561661,0.0359815562392884,4.45795151453884,2.69448576423921,0.491771278642387,0.0161662511630654,7.78944262268507,2.39567865902945,0.773823912418908,0.00501676814417548,4.50182785873937,0.939181315183545,0.162001483495481,0.594358870956811,0.929032373563407,0.00662375892893589,0.544205665577465,0.941313052761984,0.799704957218161,-0.0442486089785377,0.253003326545144,0.00255137494192197,149.852904234476,11958810532.651,0.744791652104667,16056034913.1787,1e-04,0,0.156394958496094,318.94951415062,2,113,1,3,1794,"3_113_2",FALSE,TRUE,1,3.03376231349309
