"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"1","(Intercept)",102358916.742634,8495790089.63858,0.772275400635934,102358916.742634,0.772438506604513,8495790089.63858,0.772275400635934,102358916.742634,0.772438506604513,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.00952840581732237,142344367.184804,0.0129392383799574,1714992.37572054,0.0129419711706263,142344367.184804,0.0129392383799574,1714992.37572054,0.0129419711706263,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.0142732567111056,-59754139.4974071,-0.00543170812050732,-719929.391535025,-0.005432855307137,-59754139.4974071,-0.00543170812050732,-719929.391535025,-0.005432855307137,FALSE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.0184519148719167,-598332.365854041,-5.43889812104612e-05,-35196.0215208259,-0.000265602286221182,-598332.365854041,-5.43889812104612e-05,-35196.0215208259,-0.000265602286221182,FALSE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","cag_V",274043.302528568,792538709.312281,0.0720425225665698,9548659.14834073,0.0720577380783062,792538709.312281,0.0720425225665698,9548659.14834073,0.0720577380783062,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Influencer_S",8924287.10496393,79906345.8358656,0.00726356284614511,962727.058263441,0.00726509692382307,79906345.8358656,0.00726356284614511,962727.058263441,0.00726509692382307,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,380410712.15,4583261.59216867,0.630155088852325,0.616486762607384,0.00614269843986035,0.210052827861371,4.76070715248818,28153.5938316864,0.017380354773195
"7","Social_Media_S",608456.682791977,6523135.05970727,0.000592959181957854,78591.9886711719,0.000593084416015059,6523135.05970727,0.000592959181957854,78591.9886711719,0.000593084416015059,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,26989500,325174.698795181,0.0447084433412947,0.0503267465548982,0.0494067251260255,0.241691585976297,4.13750439826263,16065.8169613116,0.125772970990511
"8","Radio_S",9191465.36596973,43186190.8147292,0.00392566582524919,520315.551984689,0.00392649493300818,43186190.8147292,0.00392566582524919,520315.551984689,0.00392649493300818,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,196277706,2364791.63855422,0.32513646780638,0.333186490837718,0.000771685749954908,0.220025960639306,4.54491823189594,1824.87600908481,0.00216486359454393
"9","chicken",30873768.6779516,1501048622.84729,0.136446747665904,18084923.1668348,0.136475565467066,1501048622.84729,0.136446747665904,18084923.1668348,0.136475565467066,TRUE,-0.0416773181215919,0.252691644971574,0.0168282899946254,143.957978747508,11846015078.0734,0.737765836835759,16056034913.1787,1e-04,13,66,1,1,1053,"1_66_13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","(Intercept)",117631613.065942,9763423884.47317,0.88750451840327,117631613.065942,0.887684972592762,9763423884.47317,0.88750451840327,117631613.065942,0.887684972592762,TRUE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","trend",0.00926296075872921,138378897.030386,0.0125787733708292,1667215.62687212,0.0125813309829949,138378897.030386,0.0125787733708292,1667215.62687212,0.0125813309829949,TRUE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","season",0.013735698860259,-57503685.5570375,-0.00522713971661852,-692815.488639005,-0.00522820253854378,-57503685.5570375,-0.00522713971661852,-692815.488639005,-0.00522820253854378,FALSE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","holiday",0.0177641162122484,-576029.412359664,-5.23616215224858e-05,-33884.0830799802,-0.00025569989712988,-576029.412359664,-5.23616215224858e-05,-33884.0830799802,-0.00025569989712988,FALSE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","cag_V",264100.132788412,763782863.649843,0.0694285888423046,9202203.17650414,0.0694427055926617,763782863.649843,0.0694285888423046,9202203.17650414,0.0694427055926617,TRUE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Influencer_S",7316749.98679789,86288489.3358176,0.00784370576120518,1039620.35344359,0.00784530060330052,86288489.3358176,0.00784370576120518,1039620.35344359,0.00784530060330052,TRUE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,380410712.15,4583261.59216867,0.630155088852325,0.626576665250945,0.0450417577325066,0.226829809413446,4.40859163346246,206438.158259164,0.119719347334467
"16","Social_Media_S",778050.005432019,6720736.24552195,0.000610921317713454,80972.7258496621,0.000611045534896517,6720736.24552195,0.000610921317713454,80972.7258496621,0.000611045534896517,TRUE,-0.0420936184422924,0.252742133305584,0.00546152790032833,151.045746203424,12310920829.1487,0.766723935694796,16056034913.1787,1e-04,4,24,1,1,372,"1_24_4",1,26989500,325174.698795181,0.0447084433412947,0.0488020654569778,0.00250512941237906,0.249012995628743,4.01585466443251,814.60470211331,0.00567194380130331
